Time (s),FrameTime (ms)
1.22739,30.643
2.00124,8.891
3.00435,8.641
4.00625,8.235
5.00632,8.03
6.00077,8.487
7.00283,8.037
8.00431,8.584
9.00547,8.846
10.0064,5.87
11.0051,8.49
12.0087,7.655
13.0024,8.355
14.0049,7.725
15.0052,7.965
16.0072,7.448
17,8.589
18.0016,9.252
19.0034,8.873
20.0031,17.143
21.0044,9.173
22.0077,7.985
23.0011,8.301
24.002,8.825
25.0034,9.052
26.0056,8.444
27.0071,8.405
28,8.641
29.0014,8.235
30.0014,8.434
31.0025,8.401
32.0055,8.7
33.0067,8.901
34.0006,8.212
35,8.316
36.0016,7.649
37.0038,8.39
38.0062,8.407
39.0079,8.192
40.0168,7.973
41.0011,8.532
42.0029,9.053
43.0045,8.811
44.0072,8.057
45.0084,8.306
46.0013,8.172
47.003,8.225
48.0042,8.772
49.0057,8.588
50.0047,8.719
51.0062,8.799
52.0005,8.704
53.0025,8.883
54.0042,9.076
55.0048,9.093
56.0072,8.44
57.0007,8.335
58.0021,8.436
59.003,8.954
60.0128,7.998
