Time (s),FrameTime (ms)
1.2002,19.359
2.00866,8.799
3.00244,7.907
4.00411,7.979
5.00638,7.856
6.00807,8.398
7.00115,7.833
8.00679,7.547
9.0022,7.978
10.0044,8.178
11.0066,7.46
12.008,8.091
13.0004,8.608
14.0017,8.987
15.0037,8.57
16.0058,7.849
17.0056,8.056
18.0076,7.298
19.001,8.474
20.0031,7.821
21.0045,8.365
22.0061,7.678
23.0056,7.828
24.0078,8.527
25.0018,8.335
26.0028,8.938
27.005,8.112
28.0038,8.116
29.0068,7.717
30.0002,8.612
31.0023,8.209
32.0043,7.992
33.0044,8.038
34.0064,8.364
35.0078,8.461
36.0013,7.704
37.0022,8.642
38.0026,8.356
39.005,8.09
40.0068,8.648
41.0005,7.973
42.0015,8.286
43.0024,8.138
44.0043,8.401
45.006,8.01
46.0077,8.338
47.0003,8.687
48,8.537
49.0027,8.245
50.0042,8.266
51.0063,7.756
52.0072,8.797
53.0076,8.446
54.0017,8.359
55.0036,8.373
56.0055,7.98
57.007,7.591
58.0065,7.77
59.0002,8.331
60.0022,8.247
